Date,Open,High,Low,Close,Volume
2006-05-25,3.6504129931658507,4.1712533568216035,3.641354689556824,4.16672420501709,395343000
2006-05-26,4.193899249791008,4.233754581661961,3.995526606839633,4.069803237915039,103044000
2006-05-30,4.0734274283031535,4.074333172575424,3.8813953890952764,3.9855637550354004,49898000
2006-05-31,4.0172654950076945,4.108752111906456,4.0172654950076945,4.070708274841309,30002000
2006-06-01,4.069803710138823,4.3569453549807,4.067086045604619,4.303502559661865,62344000
2006-06-02,4.393177407753214,4.411293586328378,4.238283929762238,4.256400108337402,37253000
2006-06-05,4.261834891486919,4.461113282424974,4.257305738982928,4.452054977416992,37188000
2006-06-06,4.527237767400874,4.586115459557108,4.329771278589702,4.375061511993408,49045000
2006-06-07,4.377775732343127,4.384116368669691,4.2346578953671745,4.311651706695557,25013000
2006-06-08,4.311654709412763,4.322524070739746,4.121434623296097,4.322524070739746,34439000
2006-06-09,4.420352847401567,4.420352847401567,4.318902139058957,4.327960014343262,13372000
2006-06-12,4.347886169388037,4.370531063414824,4.193898471233342,4.252776145935059,14546000
2006-06-13,4.1848410969953465,4.289009446720284,4.103318510171226,4.121434688568115,16716000
2006-06-14,4.0670851488513575,4.116904956371527,4.025417901212441,4.087013244628906,15971000
2006-06-15,4.112378656562785,4.177597021226389,4.087921823804434,4.162198066711426,16500000
2006-06-16,4.12143441679616,4.1667246438400145,4.0761437578285715,4.07795524597168,12280000
2006-06-19,4.116905216368101,4.116905216368101,3.99462069773995,4.016360282897949,11509000
2006-06-20,4.052592386832799,4.076143458659615,3.937554691637656,3.9873740673065186,23792000
2006-06-21,3.9873761889486317,4.155856757403437,3.985564699974603,4.103320121765137,18063000
2006-06-22,4.2029555491670205,4.2527753432394535,4.155853418296,4.221071720123291,13038000
2006-06-23,4.256399121655985,4.341545529952749,4.245529330645873,4.252776145935059,11612000
2006-06-26,4.2527804845444495,4.302599906921387,4.20567829673028,4.302599906921387,8565000
2006-06-27,4.302597956222095,4.350605867124834,4.279952617436144,4.2853875160217285,9826000
2006-06-28,4.243717613157761,4.293536982014102,4.212014417696785,4.253681659698486,8756000
2006-06-29,4.252776530298447,4.356038690379947,4.252776530298447,4.347886562347412,14470000
2006-06-30,4.316182930381953,4.347886562347412,4.221072898332987,4.347886562347412,25964000
2006-07-03,4.338828144687276,4.347886448418252,4.240095139177077,4.28447961807251,7029000
2006-07-05,4.293535109278568,4.333390846133724,4.231034489499086,4.311651706695557,13266000
2006-07-06,4.279949689822752,4.289007991910549,4.238282450450846,4.239188194274902,8097000
2006-07-07,4.234660377182915,4.24371824927652,4.1440790647046235,4.177594184875488,8380000
2006-07-10,4.184841847749917,4.218356978162422,4.177595461475923,4.211110591888428,4978000
2006-07-11,4.211109912744141,4.211109912744141,4.103318584540456,4.198428630828857,8079000
2006-07-12,4.202958530735365,4.202958530735365,4.125058897169237,4.125964641571045,7672000
2006-07-13,4.092448501311756,4.092448501311756,4.0127369750226425,4.05078125,16625000
2006-07-14,4.041724427640596,4.047159326059211,3.9765060785411164,3.9810352325439453,9663000
2006-07-17,3.977410946856977,4.000962024175439,3.9629181755489102,3.9846577644348145,6458000
2006-07-18,3.9846580804001723,3.994621699493112,3.9556721035617777,3.9765055179595947,12483000
2006-07-19,3.9774106900353146,4.116905656506329,3.967447072375796,4.10150671005249,15840000
2006-07-20,4.112377611696133,4.146798490508209,4.08520355194631,4.125964641571045,8829000
2006-07-21,4.125963530008052,4.125963530008052,4.055310734538526,4.10150671005249,8510000
2006-07-24,4.116904766526003,4.124151150145634,4.075237520808514,4.076143264770508,5017000
2006-07-25,4.094257273633891,4.202954266191134,4.090633867779268,4.173968315124512,6900000
2006-07-26,4.179404639121879,4.334298057730187,4.148607190543528,4.228318691253662,10338000
2006-07-27,4.248248002235687,4.272704821848863,4.213827133178711,4.213827133178711,6009000
2006-07-28,4.212922034068542,4.239190345993853,4.190276699278399,4.193900108337402,4339000
2006-07-31,4.193899207536314,4.203862824441793,4.1540434441431735,4.154949188232422,4616000
2006-08-01,4.159477756205484,4.159477756205484,4.048968786292284,4.076143264770508,7390000
2006-08-02,4.346980975052372,4.533578088369739,4.285386054652254,4.530860424041748,53372000
2006-08-03,4.450243322997316,4.550788258827693,4.406764151660674,4.528142929077148,21689000
2006-08-04,4.556222770005016,4.664919825308543,4.528142546211643,4.5335774421691895,14216000
2006-08-07,4.574339326408757,4.646804035972472,4.551693996689162,4.628687858581543,6918000
2006-08-08,4.6286878908319276,4.770900078707264,4.624158738471704,4.761841773986816,14073000
2006-08-09,4.800793635237199,4.93666480278678,4.710212280972269,4.787206172943115,15043000
2006-08-10,4.728326462284249,4.883219925040128,4.71926858984947,4.8515167236328125,8725000
2006-08-11,4.846081538933537,4.932133697522067,4.823436211308992,4.862386226654053,9078000
2006-08-14,4.868726487324423,4.940285440612964,4.8478930812407075,4.912205219268799,6314000
2006-08-15,4.954780996473821,4.975614846209169,4.914925649723961,4.9357590675354,8553000
2006-08-16,4.950250046309994,5.02090326364541,4.905865133506287,4.915829181671143,15344000
2006-08-17,4.9094899844839395,4.913112961664189,4.818002899901167,4.8424601554870605,10216000
2006-08-18,4.8098504800098665,4.8596698686324045,4.751878529374459,4.841553688049316,9343000
2006-08-21,4.827966226608386,5.031773347828911,4.782675995183701,4.914924144744873,12487000
2006-08-22,4.909487119045742,5.0272424471524095,4.909487119045742,5.0027852058410645,9761000
2006-08-23,5.025430789538137,5.049887600200177,4.940284824127807,4.9457197189331055,10439000
2006-08-24,4.972895572012294,5.058947744497417,4.965649186940854,5.040831565856934,5420000
2006-08-25,5.049888695995915,5.058946999944882,4.975612504078692,4.981953144073486,8016000
2006-08-28,4.968367087094662,5.022715625595505,4.961120701679308,4.983765602111816,3748000
2006-08-29,5.0045987436939745,5.040831097609284,4.996446183312607,5.0136566162109375,3211000
2006-08-30,5.0254325049863935,5.052606988288989,4.997352709484764,5.004599094390869,5801000
2006-08-31,5.004601234291312,5.08793577615366,5.004601234291312,5.063478946685791,7023000
2006-09-01,5.0698165167213425,5.208405276997688,5.0698165167213425,5.122353553771973,20559000
2006-09-05,5.154057178684377,5.184854635525942,5.095179497109159,5.1495280265808105,4618000
2006-09-06,5.154056205398964,5.333406448364258,5.124164498238081,5.333406448364258,15694000
2006-09-07,5.299892239888094,5.513663377808812,5.298986495868318,5.445727825164795,26549000
2006-09-08,5.525438573880793,5.548083900676454,5.370545126014681,5.412212371826172,15176000
2006-09-11,5.412213600329598,5.615114979735167,5.398626573937594,5.604245185852051,17064000
2006-09-12,5.524533738877541,5.629607830620161,5.524533738877541,5.6250786781311035,16992000
2006-09-13,5.616021912679045,5.64319640313901,5.51638312214821,5.557144641876221,12355000
2006-09-14,5.511852739103114,5.729246886601692,5.498265712865398,5.68757963180542,13010000
2006-09-15,5.687580954528618,5.905881328878994,5.687580954528618,5.885047912597656,19314000
2006-09-18,5.954793504407368,6.118745288609643,5.824356845131462,5.8986334800720215,23656000
2006-09-19,5.88776423683186,5.991932166006225,5.824357389558022,5.873271465301514,17263000
2006-09-20,5.896820117720951,6.041749501112703,5.842471167025411,6.028162479400635,13476000
2006-09-21,6.116932797100097,6.304435639268682,6.069831082466452,6.2546162605285645,29063000
2006-09-22,6.2500886878357615,6.295378925793422,5.895011010797649,5.9720048904418945,29874000
2006-09-25,5.910410346631978,5.951171865810466,5.634138019721715,5.83341646194458,35677000
2006-09-26,5.7428318328305314,6.098814615247656,5.6848599127518336,5.978342056274414,39969000
2006-09-27,6.068923799607441,6.150446797153446,5.9285235615267124,6.145011901855469,19633000
2006-09-28,6.127802429643607,6.241934384888965,6.127802429643607,6.218383312225342,13395000
2006-09-29,6.202078755289396,6.381429023690933,6.1196500049594205,6.372370719909668,20056000
2006-10-02,6.3723727650145765,6.3723727650145765,6.309872090175372,6.337046146392822,17393000
2006-10-03,6.195740646552249,6.42219315051192,6.195740646552249,6.3116841316223145,16733000
2006-10-04,6.340668100785377,6.377806199455099,6.227441884699924,6.306247234344482,13679000
2006-10-05,6.328921478063941,6.6118997204204515,6.259083725750481,6.583783149719238,25756000
