Date,AAPL,MSFT,V,MA,JPM
2006-01-03,2.237673282623291,18.672447204589844,,,23.633686065673828
2006-01-04,2.244258165359497,18.76287841796875,,,23.49728012084961
2006-01-05,2.226597785949707,18.776792526245117,,,23.568449020385742
2006-01-06,2.2840731143951416,18.721134185791016,,,23.73450469970703
2006-01-09,2.276588201522827,18.68635368347168,,,24.11998748779297
2006-01-10,2.4205775260925293,18.783748626708984,,,24.155582427978516
2006-01-11,2.511583089828491,18.98549461364746,,,24.137794494628906
2006-01-12,2.5232560634613037,18.881147384643555,,,23.6929931640625
2006-01-13,2.562174081802368,18.915929794311523,,,23.67519760131836
2006-01-17,2.535830020904541,18.776792526245117,,,23.5506591796875
2006-01-18,2.469371795654297,18.665477752685547,,,23.295629501342773
2006-01-19,2.366095542907715,18.79766845703125,,,23.1651554107666
2006-01-20,2.277787446975708,18.373294830322266,,,22.5661678314209
2006-01-23,2.325084924697876,18.331554412841797,,,22.696638107299805
2006-01-24,2.276289224624634,18.282848358154297,,,22.60174560546875
2006-01-25,2.2212085723876953,18.366336822509766,,,22.821184158325195
2006-01-26,2.165229082107544,18.435901641845703,,,23.479476928710938
2006-01-27,2.1562485694885254,19.333341598510742,,,23.574377059936523
2006-01-30,2.245156764984131,19.47944450378418,,,23.63368034362793
2006-01-31,2.260423421859741,19.583799362182617,,,23.574377059936523
2006-02-01,2.2577295303344727,19.507265090942383,,,23.651470184326172
2006-02-02,2.1583445072174072,19.256820678710938,,,23.716718673706055
2006-02-03,2.150859832763672,19.159421920776367,,,23.443906784057617
2006-02-06,2.014653444290161,18.902021408081055,,,23.39052963256836
2006-02-07,2.023634672164917,18.742013931274414,,,23.283777236938477
2006-02-08,2.059856414794922,18.721134185791016,,,23.485414505004883
2006-02-09,1.9443057775497437,18.54721450805664,,,23.586240768432617
2006-02-10,2.014953136444092,18.568078994750977,,,23.67519760131836
2006-02-13,1.937120795249939,18.359371185302734,,,23.586240768432617
2006-02-14,2.024832010269165,18.540260314941406,,,23.781946182250977
2006-02-15,2.0721304416656494,18.763633728027344,,,23.912425994873047
2006-02-16,2.1125433444976807,18.714771270751953,,,24.208955764770508
2006-02-17,2.104161262512207,18.637981414794922,,,24.185222625732422
2006-02-21,2.067939519882202,18.526294708251953,,,24.137794494628906
2006-02-22,2.1349942684173584,18.651939392089844,,,24.558862686157227
2006-02-23,2.1478662490844727,18.61006736755371,,,24.380949020385742
2006-02-24,2.139185667037964,18.589122772216797,,,24.707124710083008
2006-02-27,2.1251156330108643,18.882301330566406,,,24.659683227539062
2006-02-28,2.050276517868042,18.756656646728516,,,24.39874267578125
2006-03-01,2.068537950515747,18.945127487182617,,,24.689348220825195
2006-03-02,2.0838048458099365,18.826454162597656,,,24.707124710083008
2006-03-03,2.027226448059082,18.798534393310547,,,24.665611267089844
2006-03-06,1.9601706266403198,18.78458023071289,,,24.57073974609375
2006-03-07,1.9850188493728638,18.889280319213867,,,24.60038185119629
2006-03-08,1.965559959411621,19.021915435791016,,,24.671545028686523
2006-03-09,1.913771629333496,18.847396850585938,,,24.34535789489746
2006-03-10,1.891619324684143,18.966064453125,,,24.392803192138672
2006-03-13,1.966158151626587,18.924184799194336,,,24.351303100585938
2006-03-14,2.0152533054351807,19.007949829101562,,,24.541080474853516
2006-03-15,1.9826228618621826,19.09869956970215,,,24.446178436279297
2006-03-16,1.9251478910446167,19.03586769104004,,,24.505489349365234
2006-03-17,1.9356249570846558,19.196422576904297,,,24.552936553955078
2006-03-20,1.9155677556991577,19.468669891357422,,,24.582595825195312
2006-03-21,1.8503085374832153,19.363964080810547,,,24.43431854248047
2006-03-22,1.8461183309555054,18.952112197875977,,,24.938425064086914
2006-03-23,1.800915002822876,18.742691040039062,,,24.932498931884766
2006-03-24,1.7949291467666626,18.85437774658203,,,24.968082427978516
2006-03-27,1.7814559936523438,18.85437774658203,,,24.97401237487793
2006-03-28,1.757509469985962,18.77759552001953,,,24.647830963134766
2006-03-29,1.8658747673034668,18.86136817932129,,,24.718992233276367
2006-03-30,1.8784477710723877,19.007949829101562,,,24.63003158569336
2006-03-31,1.877549409866333,18.993993759155273,,,24.69527816772461
2006-04-03,1.8754544258117676,19.238313674926758,,,24.867265701293945
2006-04-04,1.831149935722351,19.294157028198242,,,25.27383804321289
2006-04-05,2.0119597911834717,19.363964080810547,,,25.435279846191406
2006-04-06,2.132599115371704,19.238313674926758,,,25.285804748535156
2006-04-07,2.089193105697632,19.021915435791016,,,24.93301773071289
2006-04-10,2.055665969848633,19.049835205078125,,,25.0406494140625
2006-04-11,2.035308361053467,18.938152313232422,,,24.87921905517578
2006-04-12,1.9969934225082397,18.987016677856445,,,25.0526123046875
2006-04-13,1.9898078441619873,18.89626121520996,,,25.22600555419922
2006-04-17,1.9401154518127441,18.7357177734375,,,25.11241340637207
2006-04-18,1.982323169708252,19.00096893310547,,,25.471145629882812
2006-04-19,1.965261697769165,18.868349075317383,,,25.483108520507812
2006-04-20,2.0245327949523926,18.868349075317383,,,25.471145629882812
2006-04-21,2.006870985031128,18.952112197875977,,,25.41136360168457
