entry_date,exit_date,side,entry_z,exit_z,holding_days,exit_reason,entry_equity,exit_equity,trade_return,window,pair
2016-02-02,2016-04-28,short_spread,1.645412411180175,1.0356428953691263,60,max_holding_days,9995.0,10200.441183902942,0.020554395588088248,2016-2026,V-MA
2016-06-17,2016-07-01,long_spread,-1.8039425441449892,0.119212985349724,10,mean_reversion,10195.340963310991,10217.72851796899,0.0021958612996428872,2016-2026,V-MA
2016-07-07,2016-08-01,short_spread,2.135840024702465,-0.04447965452744707,17,mean_reversion,10212.619653710006,10258.437906356061,0.004486434842348341,2016-2026,V-MA
2016-08-10,2016-09-27,long_spread,-1.6028824058361748,0.13359163280394204,33,mean_reversion,10253.308687402883,10191.845783618777,-0.005994445857230302,2016-2026,V-MA
2016-09-30,2016-10-18,short_spread,1.5350696750300739,-0.20520021412126002,12,mean_reversion,10186.749860726968,10265.530839838737,0.0077336716998905874,2016-2026,V-MA
2016-11-17,2017-02-15,short_spread,1.8703229205862193,1.3540404215526676,60,max_holding_days,10260.398074418817,9916.255836739474,-0.033540827089092895,2016-2026,V-MA
2017-03-29,2017-06-23,long_spread,-1.557673962951012,-1.4437331863051017,60,max_holding_days,9911.297708821105,9918.005457777195,0.000676778072171258,2016-2026,V-MA
2017-07-11,2017-10-04,long_spread,-1.6592628288210034,-0.7254125640416257,60,max_holding_days,9913.046455048307,9832.883339773674,-0.008086627621300857,2016-2026,V-MA
2017-10-26,2018-01-24,short_spread,1.5746648045543132,1.5207828756279658,60,max_holding_days,9827.966898103788,9722.99834591677,-0.010680596839135692,2016-2026,V-MA
2018-02-15,2018-05-14,short_spread,1.546519103732147,1.1737535771581866,60,max_holding_days,9718.136846743813,9692.12602757916,-0.002676523244614426,2016-2026,V-MA
2018-06-06,2018-08-09,short_spread,1.7960817412772714,-0.33699608959619093,45,mean_reversion,9687.27996456537,9533.835637362872,-0.015839774195003598,2016-2026,V-MA
2018-08-16,2018-11-09,long_spread,-1.5075435375537216,-3.0355831003533353,60,max_holding_days,9529.068719544191,9612.805788746105,0.008787539650141118,2016-2026,V-MA
2018-11-26,2019-02-25,long_spread,-1.9146979517628433,-0.10156990310159376,60,max_holding_days,9607.999385851734,9293.694463201507,-0.03271283750424214,2016-2026,V-MA
2019-03-11,2019-06-05,short_spread,1.639513100944338,2.211107352494449,60,max_holding_days,9289.047615969906,9321.04680361245,0.0034448297570925934,2016-2026,V-MA
2019-07-18,2019-10-11,long_spread,-1.613105260833786,0.6685723195450708,60,mean_reversion,9316.386280210643,9223.794045800849,-0.00993864269094058,2016-2026,V-MA
2019-10-17,2019-10-31,short_spread,2.082884939434157,-0.3098075211547635,10,mean_reversion,9219.182148777949,9195.119565199639,-0.0026100562056363685,2016-2026,V-MA
2019-11-06,2020-02-04,long_spread,-1.6991981520914325,-1.4591913583978653,60,max_holding_days,9190.522005417039,9072.797719208245,-0.012809314437134733,2016-2026,V-MA
2020-02-28,2020-04-03,short_spread,1.5140424328587687,-0.1207900673036287,25,mean_reversion,9068.261320348642,9116.536709218,0.005323555107640265,2016-2026,V-MA
2020-04-21,2020-05-12,long_spread,-1.6064723860670795,0.40835103861328387,15,mean_reversion,9111.978440863391,9228.710851559252,0.012810874329153954,2016-2026,V-MA
2020-05-29,2020-06-15,short_spread,1.518761029460991,-0.17624100450575783,11,mean_reversion,9224.096496133472,9259.975752081848,0.0038897312016863417,2016-2026,V-MA
