ticker,test_year,period,train_start,train_end,test_start,test_end,ga_trailing_stop_pct,ga_reentry_ma,ga_momentum_lookback,train_fitness,train_annualized_return,train_cumulative_return,train_max_drawdown,train_volatility,test_ga_cumulative_return,test_fixed_cumulative_return,test_dca_cumulative_return,test_buy_hold_cumulative_return,ga_beats_fixed_cumulative,ga_beats_dca_cumulative,ga_beats_buy_hold_cumulative,ga_population_size,ga_generations
AAPL,2011,pre_2016_internal_wf,2006-01-03,2010-12-31,2011-01-03,2011-12-30,0.2,100,112,0.4174846335602296,0.43052312228158995,4.971601436194167,-0.31405525725782857,0.29875946356597566,0.22887404100335118,0.22887404100335274,0.12411750086774176,0.22887404100335051,False,True,True,8,5
AAPL,2012,pre_2016_internal_wf,2006-01-03,2011-12-30,2012-01-03,2012-12-31,0.2,61,101,0.36121457340750024,0.3701160349124033,5.589602212653546,-0.3647192261441563,0.28641342807048215,0.36753151151233254,0.3675315115123332,-0.04887337284452786,0.30558561796917205,False,True,True,8,5
AAPL,2013,pre_2016_internal_wf,2006-01-03,2012-12-31,2013-01-02,2013-12-31,0.2,68,115,0.48091905083049347,0.40393521017701106,9.723093024029977,-0.31405525725782857,0.28677713296060175,0.22682050514761443,0.286771644743655,0.2153939343080482,0.04750875632618623,False,True,True,8,5
AAPL,2014,pre_2016_internal_wf,2006-01-03,2013-12-31,2014-01-02,2014-12-31,0.201,69,82,0.44256662788036466,0.40417615806296614,14.071688269543609,-0.40748021295105574,0.28231353221752004,0.4262836455687835,0.4262836455687862,0.25110639220300746,0.42628364556878573,False,True,False,8,5
AAPL,2015,pre_2016_internal_wf,2006-01-03,2014-12-31,2015-01-02,2015-12-31,0.2,140,80,0.5477099723751948,0.3645588679143872,15.357966783618473,-0.40799159059097556,0.27795772158296356,-0.15702903915859912,-0.045798291880757236,-0.11191712969222278,-0.020822709622566937,False,False,False,8,5
AAPL,2016,post_2016_oos_wf,2006-01-03,2015-12-31,2016-01-04,2016-12-30,0.2,100,136,0.31355715984000737,0.31366405902983896,14.265386597792558,-0.31405525725782857,0.26342008189255867,0.049983326256126004,0.07936639834835724,0.13263290366304448,0.1238429878489038,False,False,False,8,5
AAPL,2017,post_2016_oos_wf,2006-01-03,2016-12-30,2017-01-03,2017-12-29,0.2,100,106,0.4936067892328278,0.3223271931891716,20.551745056327555,-0.3145589367024889,0.25728707593470573,0.48042531334174443,0.480425313341742,0.16536071748585046,0.4804253133417429,True,True,True,8,5
AAPL,2018,post_2016_oos_wf,2006-01-03,2017-12-29,2018-01-02,2018-12-31,0.214,139,88,0.5416826300743169,0.2935178771376199,20.86447945338753,-0.40799159059097556,0.25533126835335884,0.041729565070263375,0.04172956507026293,-0.15650344112988368,-0.07054347696341356,True,True,True,8,5
AAPL,2019,post_2016_oos_wf,2006-01-03,2018-12-31,2019-01-02,2019-12-31,0.18,96,112,0.6376348534715979,0.2941397531031529,27.49435977344257,-0.41317459789221944,0.24836248205091574,0.4543923802311105,0.4002000388903333,0.49440792042495185,0.8874244247238381,True,False,False,8,5
AAPL,2020,post_2016_oos_wf,2006-01-03,2019-12-31,2020-01-02,2020-12-31,0.218,145,107,0.7740602653820842,0.2955249454588007,36.42513777470492,-0.40799159059097556,0.2537883915514654,0.5883434837250798,0.5381007180484145,0.511723634329101,0.7823981544463534,True,True,False,8,5
AAPL,2021,post_2016_oos_wf,2006-01-03,2020-12-31,2021-01-04,2021-12-31,0.2,100,115,1.4427409262976723,0.316879844765265,60.98579662354652,-0.3620284937428788,0.260987026007353,0.3806102286121391,0.38061022861213845,0.29527966163449926,0.3806102286121402,True,True,False,8,5
AAPL,2022,post_2016_oos_wf,2006-01-03,2021-12-31,2022-01-03,2022-12-30,0.197,96,92,2.6566579337938285,0.3407731722864409,107.80251760908766,-0.3567957318871371,0.2599418383561667,-0.41015601528916523,-0.3332011654719317,-0.1716588846516368,-0.28199524604940085,False,False,False,8,5
AAPL,2023,post_2016_oos_wf,2006-01-03,2022-12-30,2023-01-03,2023-12-29,0.221,137,63,1.1399177612524458,0.2616520938613074,50.855986153370786,-0.40799159059097556,0.27514426899707495,0.282406249083641,0.23912515419542757,0.15138441676001002,0.5479821077357294,True,True,False,8,5
AAPL,2024,post_2016_oos_wf,2006-01-03,2023-12-29,2024-01-02,2024-12-31,0.2,100,127,1.2489458565266878,0.2568704622778626,60.056826201704254,-0.3725613946604466,0.2531421658888122,0.35556352271982794,0.3555635227198273,0.25567975830326417,0.35556352271982905,True,True,False,8,5
AAPL,2025,post_2016_oos_wf,2006-01-03,2024-12-31,2025-01-02,2025-12-31,0.2,100,103,1.9276990157365121,0.26954233487422297,92.00712009702923,-0.4643543475287386,0.25810207251042416,-0.011211462422736407,-0.0028982003415454205,0.18283058749451286,0.11990787618677379,False,False,False,8,5
AAPL,2026,post_2016_oos_wf,2006-01-03,2025-12-31,2026-01-02,2026-05-15,0.2,100,109,2.21590327008587,0.26375551594153945,106.75223043030554,-0.4490320742816537,0.2554334408615462,0.10987706662057706,0.10987706662057661,0.12146121371049245,0.10987706662057772,True,False,False,8,5
MSFT,2011,pre_2016_internal_wf,2006-01-03,2010-12-31,2011-01-03,2011-12-30,0.206,138,97,-0.047924057156282535,0.07790738235461725,0.45417716767574023,-0.2743274170112915,0.18859279941723517,-0.04754560582513734,-0.04754560582513656,0.011758409983160245,-0.04754560582513645,False,False,False,8,5
MSFT,2012,pre_2016_internal_wf,2006-01-03,2011-12-30,2012-01-03,2012-12-31,0.312,113,63,-0.17104593158454673,0.05621666732976727,0.38747591768456124,-0.34015851982572975,0.22715887561435258,0.025975893459036836,0.025975893459035726,-0.08574641588609189,0.02597589345903506,True,True,True,8,5
MSFT,2013,pre_2016_internal_wf,2006-01-03,2012-12-31,2013-01-02,2013-12-31,0.293,200,132,-0.08621394453493311,0.04794370557557848,0.3874346862223681,-0.29549059804192324,0.2160734017187982,0.39543782803712624,0.3954378280371258,0.19633400006861113,0.3954378280371249,True,True,True,8,5
MSFT,2014,pre_2016_internal_wf,2006-01-03,2013-12-31,2014-01-02,2014-12-31,0.273,119,81,-0.01775099158326612,0.10254680824439943,1.1818659287352196,-0.32032546907038983,0.22755611820966018,0.28422835781054534,0.2842283578105458,0.12862116067238905,0.28422835781054645,False,True,False,8,5
MSFT,2015,pre_2016_internal_wf,2006-01-03,2014-12-31,2015-01-02,2015-12-31,0.237,102,97,0.02333643138681873,0.11931474359145988,1.7550814408175897,-0.29042179162054327,0.21074047885309244,0.21878488355863923,0.21878488355864123,0.22827598184273712,0.21878488355863923,False,False,False,8,5
MSFT,2016,post_2016_oos_wf,2006-01-03,2015-12-31,2016-01-04,2016-12-30,0.278,91,97,0.050221385721298493,0.13139573679086958,2.4326665603395625,-0.31678335805350866,0.22985349825977752,0.16505714931363946,0.16505714931364035,0.1447178627617962,0.16505714931363769,False,True,True,8,5
MSFT,2017,post_2016_oos_wf,2006-01-03,2016-12-30,2017-01-03,2017-12-29,0.183,175,74,0.06674968962461654,0.12813567364641365,2.7621583222432045,-0.2766379131153307,0.21319746976935056,0.39741134024728453,0.39741134024728453,0.22874462523869865,0.397411340247283,False,True,True,8,5
MSFT,2018,post_2016_oos_wf,2006-01-03,2017-12-29,2018-01-02,2018-12-31,0.28,139,154,0.10850166731903776,0.14092105819723932,3.856052421521597,-0.29549059804192324,0.21930187112683072,0.20219099110672278,0.202190991106723,0.02654928373887544,0.20219099110672234,False,True,True,8,5
MSFT,2019,post_2016_oos_wf,2006-01-03,2018-12-31,2019-01-02,2019-12-31,0.211,140,83,0.1859563050854368,0.15894599536711462,5.795971575027173,-0.27361835078731045,0.219004810028377,0.5825923006744473,0.5825923006744476,0.27155312253075725,0.5825923006744458,False,True,True,8,5
MSFT,2020,post_2016_oos_wf,2006-01-03,2019-12-31,2020-01-02,2020-12-31,0.283,100,91,0.2954790379038974,0.18322542302262135,9.525548248824494,-0.32032546907038983,0.2270885841731083,0.3994281906425603,0.22266042403431952,0.18769360344817532,0.3994281906425632,True,True,False,8,5
MSFT,2021,post_2016_oos_wf,2006-01-03,2020-12-31,2021-01-04,2021-12-31,0.327,153,116,0.3603785405135008,0.19033101614472492,12.628452391311514,-0.3590194690037223,0.2477322421445969,0.5578994751038004,0.5578994751037984,0.271418013754015,0.5578994751038007,True,True,False,8,5
MSFT,2022,post_2016_oos_wf,2006-01-03,2021-12-31,2022-01-03,2022-12-30,0.307,180,92,0.5742277193198236,0.20928685265263325,19.882930403360625,-0.337333687359763,0.2420312382346971,-0.3004252352273038,-0.23331853974685546,-0.12047908246390249,-0.27687176112714185,False,False,False,8,5
MSFT,2023,post_2016_oos_wf,2006-01-03,2022-12-30,2023-01-03,2023-12-29,0.316,117,76,0.370855351837284,0.17230046040712632,13.888761618649236,-0.3646836399188488,0.2505003890791777,0.5282054217322782,0.5834972813604378,0.2468856022602326,0.5834972813604362,False,True,False,8,5
