ticker,period,strategy,annualized_return,cumulative_return,max_drawdown,volatility
AAPL,post_2016_oos_wf,buy_and_hold,0.33424970379901,0.31231754174755216,-0.21296124003236575,0.2747726422798359
AAPL,post_2016_oos_wf,dca,0.20353039674529042,0.18023622618401872,-0.1304435732806479,0.1573864608863342
AAPL,post_2016_oos_wf,fixed_rule,0.22919557648629796,0.20808169454850933,-0.19153809302731165,0.23028324713940426
AAPL,post_2016_oos_wf,ga_walkforward,0.23223654902218271,0.21108760526805526,-0.20950685065202457,0.2438530771355668
AAPL,pre_2016_internal_wf,buy_and_hold,0.19895413909274642,0.1974858702489855,-0.20322577173021633,0.26462788648355307
AAPL,pre_2016_internal_wf,dca,0.0862839283965922,0.08596546496840936,-0.1418600111883349,0.1616014387404739
AAPL,pre_2016_internal_wf,fixed_rule,0.2545946148701053,0.252732510189474,-0.15548677306829778,0.21988651018277533
AAPL,pre_2016_internal_wf,ga_walkforward,0.22022044487381898,0.21849613281469651,-0.1736890764782319,0.2214543112637541
JPM,post_2016_oos_wf,buy_and_hold,0.1825193800127322,0.1917690424266232,-0.1970875770123156,0.2547900002625972
JPM,post_2016_oos_wf,dca,0.14499529376130527,0.14808100141897326,-0.09502478068877585,0.14012133516477793
JPM,post_2016_oos_wf,fixed_rule,0.1381237416776411,0.14778589794902108,-0.16968492883266395,0.20435005762186956
JPM,post_2016_oos_wf,ga_walkforward,0.1691594298761814,0.178373271906142,-0.18405564531861043,0.22486807663725158
JPM,pre_2016_internal_wf,buy_and_hold,0.11832329378195786,0.11721650471856734,-0.22039927726453595,0.2554171629839083
JPM,pre_2016_internal_wf,dca,0.06731592801308033,0.06675275968257603,-0.13559858250984996,0.16466154399727911
JPM,pre_2016_internal_wf,fixed_rule,0.0975815598799594,0.09698281888892783,-0.16554266567412385,0.19478861233408984
JPM,pre_2016_internal_wf,ga_walkforward,0.04861013449065148,0.048365711758713625,-0.20869881538944082,0.2169470286937007
MA,post_2016_oos_wf,buy_and_hold,0.16737077917090262,0.18190459168690928,-0.18506970542361342,0.25006595037008417
MA,post_2016_oos_wf,dca,0.07995074323700964,0.08742646447769614,-0.11346997453684118,0.1466488095946986
MA,post_2016_oos_wf,fixed_rule,0.0775922731641217,0.09249232922153414,-0.185323062463773,0.22353245473312686
MA,post_2016_oos_wf,ga_walkforward,0.13009362988628403,0.1447050797979358,-0.177662460422371,0.2370583925445513
MA,pre_2016_internal_wf,buy_and_hold,0.3735150792236158,0.3710629235358144,-0.13137705404297556,0.24770734726467047
MA,pre_2016_internal_wf,dca,0.21678439243501885,0.21553336771860648,-0.0762379312080417,0.1564005230817252
MA,pre_2016_internal_wf,fixed_rule,0.37351507922361604,0.37106292353581455,-0.1313770540429756,0.2477073472646706
MA,pre_2016_internal_wf,ga_walkforward,0.37351507922361493,0.37106292353581344,-0.13137705404297567,0.24770734726467047
MSFT,post_2016_oos_wf,buy_and_hold,0.24343095519218372,0.2558440160976225,-0.1756392742742249,0.26087946278822066
MSFT,post_2016_oos_wf,dca,0.12905615078554578,0.12462123302104758,-0.10118867487189168,0.14719724239078125
MSFT,post_2016_oos_wf,fixed_rule,0.21770727314837213,0.22858512683562876,-0.15979046368727012,0.2284386955417723
MSFT,post_2016_oos_wf,ga_walkforward,0.22097668368589646,0.24138461168298475,-0.16546066924261318,0.24580661029010578
MSFT,pre_2016_internal_wf,buy_and_hold,0.17622178715168565,0.17537627140804185,-0.15001516521176683,0.2318402954303503
MSFT,pre_2016_internal_wf,dca,0.09614176080572896,0.09584862733616113,-0.09980346875986323,0.14416806492482387
MSFT,pre_2016_internal_wf,fixed_rule,0.1762217871516862,0.1753762714080424,-0.15001516521176678,0.2318402954303503
MSFT,pre_2016_internal_wf,ga_walkforward,0.17622178715168588,0.17537627140804207,-0.15001516521176678,0.23184029543035037
V,post_2016_oos_wf,buy_and_hold,0.15001909228590854,0.15696286531057255,-0.16452173789611513,0.23254217452605372
V,post_2016_oos_wf,dca,0.07570765300733473,0.07426682308631952,-0.10392686630231328,0.13388399135501905
V,post_2016_oos_wf,fixed_rule,0.09692668386356881,0.11446077046270343,-0.15432003413783735,0.2055127344710785
V,post_2016_oos_wf,ga_walkforward,0.11943970968176472,0.12648856263078792,-0.15021513863978297,0.21283628342961042
V,pre_2016_internal_wf,buy_and_hold,0.2740377574267008,0.27279125409513716,-0.12834456901674107,0.21516912303475885
V,pre_2016_internal_wf,dca,0.19910462787426955,0.19823443269805172,-0.07539063488277457,0.13631096911521254
V,pre_2016_internal_wf,fixed_rule,0.27403775742670017,0.27279125409513655,-0.12834456901674074,0.21516912303475888
V,pre_2016_internal_wf,ga_walkforward,0.27403775742670033,0.2727912540951367,-0.12834456901674093,0.21516912303475877
