date,price,ret,momentum,reentry_ma,drawdown_from_peak,trend_ok,exposure,turnover,strategy_ret,equity,ticker,strategy
2016-01-04,23.709108352661133,0.0,,,0.0,0.0,1.0,1.0,-0.001,9990.0,AAPL,ga_trend_stop_momentum
2016-01-05,23.114967346191406,-0.02505960990317202,,,-0.02505960990317202,0.0,1.0,0.0,-0.02505960990317202,9739.654497067311,AAPL,ga_trend_stop_momentum
2016-01-06,22.66261863708496,-0.019569515385059688,,,-0.04413872086668802,0.0,1.0,0.0,-0.019569515385059688,9549.054178541786,AAPL,ga_trend_stop_momentum
2016-01-07,21.706153869628903,-0.04220451231928268,,,-0.08448037999739522,0.0,1.0,0.0,-0.04220451231928268,9146.041003826022,AAPL,ga_trend_stop_momentum
2016-01-08,21.820932388305664,0.005287833089461236,,,-0.0796392650566945,0.0,1.0,0.0,0.005287833089461236,9194.403742083623,AAPL,ga_trend_stop_momentum
2016-01-11,22.17425537109375,0.016191928763660046,,,-0.06473684959962278,0.0,1.0,0.0,0.016191928763660046,9343.27887249977,AAPL,ga_trend_stop_momentum
2016-01-12,22.496078491210938,0.01451336762977462,,,-0.05116303166728087,0.0,1.0,0.0,0.01451336762977462,9478.881313643864,AAPL,ga_trend_stop_momentum
2016-01-13,21.91769790649414,-0.025710284792203497,,,-0.07555790034448606,0.0,1.0,0.0,-0.025710284792203497,9235.176575558584,AAPL,ga_trend_stop_momentum
2016-01-14,22.397052764892575,0.021870675489892744,,,-0.05533972717372526,0.0,1.0,0.0,0.021870675489892744,9437.156125534484,AAPL,ga_trend_stop_momentum
2016-01-15,21.85918617248535,-0.024015061180296504,,,-0.07802580142024385,0.0,1.0,0.0,-0.024015061180296504,9210.522243811763,AAPL,ga_trend_stop_momentum
2016-01-19,21.753414154052734,-0.00483879031899892,,,-0.08248704124669837,0.0,1.0,0.0,-0.00483879031899892,9165.954457945483,AAPL,ga_trend_stop_momentum
2016-01-20,21.78267478942871,0.001345105424314541,,,-0.08125288958900034,0.0,1.0,0.0,0.001345105424314541,9178.283633005885,AAPL,ga_trend_stop_momentum
2016-01-21,21.67239570617676,-0.005062697043315745,,,-0.0859042278684331,0.0,1.0,0.0,-0.005062697043315745,9131.816763594354,AAPL,ga_trend_stop_momentum
2016-01-22,22.82465171813965,0.05316698843932999,,,-0.03730450851907352,0.0,1.0,0.0,0.05316698843932999,9617.327959894455,AAPL,ga_trend_stop_momentum
2016-01-25,22.379053115844727,-0.019522690107064644,,,-0.056098914266723976,0.0,1.0,0.0,-0.019522690107064644,9429.571846475428,AAPL,ga_trend_stop_momentum
2016-01-26,22.50283432006836,0.005531118925491629,,,-0.050878085107632476,0.0,1.0,0.0,0.005531118925491629,9481.72792977475,AAPL,ga_trend_stop_momentum
2016-01-27,21.024250030517575,-0.06570658026985343,,,-0.11324164039438489,0.0,1.0,0.0,-0.06570658026985343,8858.716012460094,AAPL,ga_trend_stop_momentum
2016-01-28,21.175024032592773,0.007171433076392564,,,-0.1068823121635416,0.0,1.0,0.0,0.007171433076392564,8922.24570148622,AAPL,ga_trend_stop_momentum
2016-01-29,21.906448364257812,0.03454184186706111,,,-0.07603238222161945,0.0,1.0,0.0,0.03454184186706111,9230.436501606024,AAPL,ga_trend_stop_momentum
2016-02-01,21.701650619506836,-0.009348742495617013,,,-0.08467031755451815,0.0,1.0,0.0,-0.009348742495617013,9144.143527630364,AAPL,ga_trend_stop_momentum
2016-02-02,21.262798309326172,-0.020222070563895023,,,-0.10318017898215837,0.0,1.0,0.0,-0.020222070563895023,8959.230011968239,AAPL,ga_trend_stop_momentum
2016-02-03,21.683643341064453,0.01979255155487669,,,-0.08542982643922747,0.0,1.0,0.0,0.01979255155487669,9136.556033872119,AAPL,ga_trend_stop_momentum
2016-02-04,21.85787773132324,0.008035291280078516,,,-0.07808098869859481,0.0,1.0,0.0,0.008035291280078516,9209.97092290104,AAPL,ga_trend_stop_momentum
