window,pair,strategy,corr_train,coint_pvalue_train,start_equity,end_equity,annualized_return,cumulative_return,max_drawdown,volatility
2016-2026,V-MA,ga_pairs_zscore,0.9925652623407485,0.23813184584344227,10000.0,9654.969324568196,-0.0033896042404593096,-0.03450306754318044,-0.11161967242710058,0.0330029909020226
2016-2026,V-MA,fixed_pairs_zscore,0.9925652623407485,0.23813184584344227,10000.0,9503.03863398867,-0.004917004267146696,-0.049696136601133034,-0.15886776815011328,0.044433805951637526
2016-2026,V-MA,buy_and_hold_pair,0.9925652623407485,0.23813184584344227,10000.0,50939.57567526285,0.17050209532985505,4.093957567526285,-0.3897256853111274,0.25121779387187043
2016-2026,V-MA,dca_pair,0.9925652623407485,0.23813184584344227,10000.0,21404.745955377344,0.07636681350880958,1.1404745955377344,-0.2322558518396477,0.16065917327768744
2025,V-MA,ga_pairs_zscore,0.9966861092960025,0.012630800320388784,10000.0,9830.86003373092,-0.017116025764180587,-0.016913996626907957,-0.0345823414135088,0.01677797438518236
2025,V-MA,fixed_pairs_zscore,0.9966861092960025,0.012630800320388784,10000.0,9925.736112231567,-0.007515526275755358,-0.007426388776843318,-0.06362902318497976,0.04479310902825419
2025,V-MA,buy_and_hold_pair,0.9966861092960025,0.012630800320388784,10000.0,11112.468885854865,0.11266004336722535,0.11124688858548648,-0.15848028909938427,0.22132269278365252
2025,V-MA,dca_pair,0.9966861092960025,0.012630800320388784,10000.0,10234.436872591225,0.02372946652290797,0.02344368725912238,-0.0897811950472649,0.12053489444892458
2026,V-MA,ga_pairs_zscore,0.9973500193219449,0.0033367740574426646,10000.0,10014.160858440444,0.003883621826770156,0.0014160858440444013,-0.005177680587921563,0.013830561245080844
2026,V-MA,fixed_pairs_zscore,0.9973500193219449,0.0033367740574426646,10000.0,10436.340579285587,0.12410287366851946,0.04363405792855857,-0.016245994309077694,0.05660627489521405
2026,V-MA,buy_and_hold_pair,0.9973500193219449,0.0033367740574426646,10000.0,9122.424569410454,-0.2224347262534746,-0.08775754305895467,-0.168074768630727,0.24372996548602882
2026,V-MA,dca_pair,0.9973500193219449,0.0033367740574426646,10000.0,9757.318394144982,-0.0650792811126586,-0.02426816058550174,-0.0731648344997976,0.14167807836662322
