ticker,test_year,period,strategy,train_start,train_end,test_start,test_end,annualized_return,cumulative_return,max_drawdown,volatility
AAPL,2011,pre_2016_internal_wf,ga_walkforward,2006-01-03,2010-12-31,2011-01-03,2011-12-30,0.2298830700361052,0.22887361826602803,-0.13894941810093941,0.2617319338199479
AAPL,2011,pre_2016_internal_wf,fixed_rule,2006-01-03,2010-12-31,2011-01-03,2011-12-30,0.22988307003610453,0.22887361826602737,-0.13894941810093964,0.2617319338199477
AAPL,2011,pre_2016_internal_wf,buy_and_hold,2006-01-03,2010-12-31,2011-01-03,2011-12-30,0.2298830700361041,0.22887361826602692,-0.1389494181009392,0.2617319338199475
AAPL,2011,pre_2016_internal_wf,dca,2006-01-03,2010-12-31,2011-01-03,2011-12-30,0.12464187341242505,0.12411776674614394,-0.12494366770995669,0.1740260997282766
AAPL,2012,pre_2016_internal_wf,ga_walkforward,2006-01-03,2011-12-30,2012-01-03,2012-12-31,0.3726982215200647,0.3675312915259801,-0.20244143088701516,0.2568725472111466
AAPL,2012,pre_2016_internal_wf,fixed_rule,2006-01-03,2011-12-30,2012-01-03,2012-12-31,0.37269822152006293,0.3675312915259783,-0.20244143088701527,0.25687254721114655
AAPL,2012,pre_2016_internal_wf,buy_and_hold,2006-01-03,2011-12-30,2012-01-03,2012-12-31,0.30978673830501213,0.3055855770709388,-0.2708767032529722,0.29438839534699035
AAPL,2012,pre_2016_internal_wf,dca,2006-01-03,2011-12-30,2012-01-03,2012-12-31,-0.049447047328407656,-0.04887301837232083,-0.24913585919603887,0.19479876940196159
AAPL,2013,pre_2016_internal_wf,ga_walkforward,2006-01-03,2012-12-31,2013-01-02,2013-12-31,0.22781962297435765,0.22682003954214536,-0.1134833481942249,0.1558400080104113
AAPL,2013,pre_2016_internal_wf,fixed_rule,2006-01-03,2012-12-31,2013-01-02,2013-12-31,0.2880650244555327,0.2867717764511335,-0.11348334819422501,0.15760176076253196
AAPL,2013,pre_2016_internal_wf,buy_and_hold,2006-01-03,2012-12-31,2013-01-02,2013-12-31,0.047702605256402686,0.047508882285432374,-0.2845453812403326,0.2838027581393245
AAPL,2013,pre_2016_internal_wf,dca,2006-01-03,2012-12-31,2013-01-02,2013-12-31,0.2163387370629224,0.21539380969401867,-0.08548807929489777,0.14393836998697945
