ticker,date,action,price,exposure_after,drawdown_from_peak,momentum_126d,price_vs_ma_pct,volatility_63d,next_change_date,price_return_until_next_change,interpretation,rule_evidence
MSFT,2020-03-13,Re-entry,150.87367248535156,1.0,-0.1559943509070088,0.0455870845212211,0.025077124746695878,0.5211755500997866,2022-04-26,0.732603386221832,成功：重新進場後股價上漲，策略重新跟上趨勢。,"price vs 121D MA 2.51%, 72D momentum 4.56% > 0; 63D vol 52.12%"
MSFT,2022-04-26,Exit,261.40423583984375,0.0,-0.2108107859098066,-0.140330373425685,-0.12969462419826927,0.34111472246954283,2022-07-29,0.041350881784943505,失敗：出場後股價反彈，策略少吃一段上漲。,DD -21.08% <= GA stop -20.50% and price vs 121D MA -12.97%; 63D vol 34.11%
MSFT,2022-07-29,Re-entry,272.2135314941406,1.0,-0.1781771160120105,0.0055887505285887,0.011807845547545215,0.3710535088404273,2022-10-10,-0.1816747689686412,失敗：重新進場後價格下跌，屬於二次回落或假突破。,"price vs 121D MA 1.18%, 72D momentum 0.56% > 0; 63D vol 37.11%"
MSFT,2022-10-10,Exit,222.7592010498047,0.0,-0.2171717182550097,-0.104270951105992,-0.12951305310943018,0.3153783628995644,2023-01-26,0.08483714390008945,失敗：出場後股價反彈，策略少吃一段上漲。,DD -21.72% <= GA stop -20.50% and price vs 121D MA -12.95%; 63D vol 31.54%
MSFT,2023-01-26,Re-entry,241.6574554443359,1.0,-0.1507588026675501,0.1016562758723544,0.003993675440040256,0.3913910738172224,2025-04-04,0.4777369044133448,成功：重新進場後股價上漲，策略重新跟上趨勢。,"price vs 121D MA 0.40%, 72D momentum 10.17% > 0; 63D vol 39.14%"
MSFT,2025-04-04,Exit,357.10614013671875,0.0,-0.2259080402894298,-0.1756520920718591,-0.1327835805263099,0.26589030588239954,2025-05-01,0.1821920217432509,失敗：出場後股價反彈，策略少吃一段上漲。,DD -22.59% <= GA stop -20.50% and price vs 121D MA -13.28%; 63D vol 26.59%
MSFT,2025-05-01,Re-entry,422.16802978515625,1.0,-0.0848746611345657,0.003940328784314,0.03887020411484032,0.35310507106517386,2026-02-02,0.000563410744359949,中性：重新進場後價格變化有限。,"price vs 121D MA 3.89%, 72D momentum 0.39% > 0; 63D vol 35.31%"
MSFT,2026-02-02,Exit,422.4058837890625,0.0,-0.2175136697994244,-0.1741065557630688,-0.14727070641485374,0.2854373317904229,2026-05-15,-0.001150245249828874,中性：出場後價格變化不大，主要降低曝險。,DD -21.75% <= GA stop -20.50% and price vs 121D MA -14.73%; 63D vol 28.54%
V,2018-12-24,Exit,115.45494842529295,0.0,-0.1912685022533777,-0.1739579106345262,-0.1355265907147981,0.3357743771511893,2019-02-01,0.15131820969541177,失敗：出場後股價反彈，策略少吃一段上漲。,DD -19.13% <= GA stop -18.00% and price vs 96D MA -13.55%; 63D vol 33.58%
V,2019-02-01,Re-entry,132.92538452148438,1.0,-0.0688926998900699,0.0457440814651559,0.009200729437431221,0.3343875966843044,2020-03-09,0.23066378094537754,成功：重新進場後股價上漲，策略重新跟上趨勢。,"price vs 96D MA 0.92%, 67D momentum 4.57% > 0; 63D vol 33.44%"
