entry_date,exit_date,side,entry_z,exit_z,holding_days,exit_reason,entry_equity,exit_equity,trade_return,window,pair,strategy
2016-08-12,2016-10-11,long_spread,-2.3546682484929113,-0.4765854794671719,41,max_holding_days,9995.0,9892.191637034552,-0.010285979286187907,2016-2026,V-MA,ga_pairs_zscore
2016-11-23,2017-01-25,short_spread,2.7824928971830634,2.1053440978346574,41,max_holding_days,9887.245541216034,9749.911175911244,-0.013890053072142083,2016-2026,V-MA,ga_pairs_zscore
2017-12-08,2018-02-08,short_spread,2.362995184153409,1.3714274039882965,41,max_holding_days,9745.036220323289,9994.856442483338,0.025635638135346195,2016-2026,V-MA,ga_pairs_zscore
2018-09-05,2018-11-01,long_spread,-2.353194859763001,-0.891461026363078,41,max_holding_days,9989.859014262098,10144.259621868307,0.015455734398831522,2016-2026,V-MA,ga_pairs_zscore
2018-12-14,2019-02-14,long_spread,-2.387790013818933,-1.43543767765286,41,max_holding_days,10139.187492057374,9884.98404591552,-0.02507138233127515,2016-2026,V-MA,ga_pairs_zscore
2019-11-14,2020-01-15,long_spread,-2.437326130795747,-2.292120624875552,41,max_holding_days,9880.041553892563,9918.512362731928,0.003893790185954149,2016-2026,V-MA,ga_pairs_zscore
2020-01-16,2020-03-17,long_spread,-2.3924071983989506,0.777032903784175,41,max_holding_days,9913.553106550562,9934.106760549008,0.002073288333409362,2016-2026,V-MA,ga_pairs_zscore
2020-07-07,2020-09-02,long_spread,-2.356165351604243,2.745139552036414,41,max_holding_days,9929.139707168733,9685.26565243642,-0.024561448617370085,2016-2026,V-MA,ga_pairs_zscore
2021-03-18,2021-03-23,short_spread,3.413008829686708,4.206657238406803,3,stop_z,9680.423019610202,9856.443874423,0.01818317799296798,2016-2026,V-MA,ga_pairs_zscore
2021-06-30,2021-08-27,long_spread,-2.3742285848329026,-1.2932417097990496,41,max_holding_days,9851.515652485788,9982.393037327816,0.013284999938969255,2016-2026,V-MA,ga_pairs_zscore
2022-01-28,2022-03-29,short_spread,2.675719942850108,0.24724306259035594,41,max_holding_days,9977.401840809152,9849.485386736544,-0.012820617643103271,2016-2026,V-MA,ga_pairs_zscore
2022-08-03,2022-09-30,short_spread,2.380215805649593,0.6524808964605502,41,max_holding_days,9844.560644043177,9746.861190750464,-0.009924206556828907,2016-2026,V-MA,ga_pairs_zscore
2023-02-06,2023-04-05,long_spread,-2.6722930732822445,-1.4196264678908732,41,max_holding_days,9741.987760155089,9817.550682320838,0.007756417276030936,2016-2026,V-MA,ga_pairs_zscore
2023-09-20,2023-11-16,short_spread,2.50986636300248,0.9306563685655207,41,max_holding_days,9812.641906979678,9511.040965852922,-0.030735957144449322,2016-2026,V-MA,ga_pairs_zscore
2024-07-02,2024-08-29,short_spread,2.428671851168407,2.9012160896279044,41,max_holding_days,9506.285445369997,9724.737483981362,0.022979747438339526,2016-2026,V-MA,ga_pairs_zscore
2024-09-27,2024-11-25,short_spread,2.422504839718133,0.9243222039898121,41,max_holding_days,9719.875115239372,9171.28837258149,-0.056439690443941704,2016-2026,V-MA,ga_pairs_zscore
2025-10-10,2025-12-09,short_spread,2.361500953723082,1.44912986932205,41,max_holding_days,9166.7027283952,9252.665285347462,0.009377696593779739,2016-2026,V-MA,ga_pairs_zscore
2026-04-14,2026-05-15,long_spread,-2.344282909139232,-0.5039484403721771,23,open_at_end,9248.03895270479,9654.969324568196,0.044001801240725724,2016-2026,V-MA,ga_pairs_zscore
2016-02-11,2016-05-09,short_spread,2.109075149092219,1.20442377485363,60,max_holding_days,9995.0,10037.249859180865,0.0042270994678204055,2016-2026,V-MA,fixed_pairs_zscore
2016-07-07,2016-07-08,short_spread,2.3489749344824076,3.263748021192146,1,stop_z,10032.231234251276,9915.310303727469,-0.011654529066736918,2016-2026,V-MA,fixed_pairs_zscore
2016-08-11,2016-11-04,long_spread,-2.004721621221237,0.16721531588667826,60,max_holding_days,9910.352648575605,9633.324650581877,-0.027953394578097535,2016-2026,V-MA,fixed_pairs_zscore
2016-11-17,2016-11-25,short_spread,2.3019581813583945,3.1268609588965313,5,stop_z,9628.507988256586,9737.100112847053,0.011278188139108414,2016-2026,V-MA,fixed_pairs_zscore
2017-04-11,2017-07-07,long_spread,-2.007119730286997,-1.4799110395185897,60,max_holding_days,9732.23156279063,9723.824226986455,-0.000863865162879951,2016-2026,V-MA,fixed_pairs_zscore
2017-07-24,2017-10-17,long_spread,-2.016135446224483,-0.6928926103153168,60,max_holding_days,9718.962314872962,9514.758368129214,-0.021010879570060093,2016-2026,V-MA,fixed_pairs_zscore
2017-11-22,2018-02-21,short_spread,2.1381957150396365,1.42818764716283,60,max_holding_days,9510.00098894515,9612.99985496135,0.010830584154084777,2016-2026,V-MA,fixed_pairs_zscore
2018-07-03,2018-09-27,short_spread,2.003460410752462,-1.5512878747131804,60,max_holding_days,9608.19335503387,9346.776819317658,-0.027207668086659864,2016-2026,V-MA,fixed_pairs_zscore
2018-11-27,2019-02-26,long_spread,-2.0283826753148393,-0.5619178895175,60,max_holding_days,9342.103430908,9080.873998613517,-0.027962592603097858,2016-2026,V-MA,fixed_pairs_zscore
2019-08-05,2019-10-29,long_spread,-2.031138421506361,-0.10634811892901397,60,max_holding_days,9076.33356161421,9063.865750923376,-0.0013736615788960682,2016-2026,V-MA,fixed_pairs_zscore
2019-11-07,2019-11-11,long_spread,-2.2717933881375627,-3.2031006575503698,2,stop_z,9059.333818047915,9024.388025897128,-0.0038574350887886633,2016-2026,V-MA,fixed_pairs_zscore
2020-01-09,2020-04-06,long_spread,-2.0619519115591762,0.576551094919949,60,max_holding_days,9019.87583188418,8964.653839907387,-0.006122256337674714,2016-2026,V-MA,fixed_pairs_zscore
2020-07-01,2020-09-25,long_spread,-2.403513857835456,1.74871735807592,60,max_holding_days,8960.171512987434,8634.131039640888,-0.036387749148993676,2016-2026,V-MA,fixed_pairs_zscore
2021-03-16,2021-03-17,short_spread,3.3582151388331796,3.433817658958388,1,stop_z,8629.813974121069,8626.787364811129,-0.00035071547532961045,2016-2026,V-MA,fixed_pairs_zscore
2021-06-15,2021-09-09,long_spread,-2.0099538950976803,-0.8226499003137793,60,max_holding_days,8622.473971128724,8742.662431006554,0.013938976247451329,2016-2026,V-MA,fixed_pairs_zscore
2021-10-14,2022-01-10,short_spread,2.0365375495350855,-0.04735487870675706,60,max_holding_days,8738.291099791051,9275.84081459361,0.0615165721379336,2016-2026,V-MA,fixed_pairs_zscore
2022-01-28,2022-02-01,short_spread,2.5450093780803025,3.089730687714492,2,stop_z,9271.202894186314,9274.02780424047,0.00030469725303139406,2016-2026,V-MA,fixed_pairs_zscore
2022-04-21,2022-07-19,long_spread,-2.014044746146998,2.2131635764328377,60,max_holding_days,9269.39079033835,9506.88312554724,0.02562113741675809,2016-2026,V-MA,fixed_pairs_zscore
2023-01-20,2023-02-01,long_spread,-2.007382354720271,-3.3058282469763447,8,stop_z,9502.129683984467,9675.811713809993,0.0182782213673911,2016-2026,V-MA,fixed_pairs_zscore
2023-04-20,2023-07-18,long_spread,-2.0442716418520765,-0.9163350786111899,60,max_holding_days,9670.973807953089,9527.515438990367,-0.014833911435552238,2016-2026,V-MA,fixed_pairs_zscore
2023-09-19,2023-09-28,short_spread,2.235482965983106,3.2042913215892246,7,stop_z,9522.751681270873,9616.88717340689,0.009885324671561113,2016-2026,V-MA,fixed_pairs_zscore
2024-01-31,2024-04-26,long_spread,-2.2119866907903485,-1.132206543058258,60,max_holding_days,9612.078729820189,9494.04691169645,-0.012279530936170957,2016-2026,V-MA,fixed_pairs_zscore
2024-07-01,2024-09-25,short_spread,2.060017773778693,1.9241379395149019,60,max_holding_days,9489.299888240603,9852.594876434867,0.03828469881581764,2016-2026,V-MA,fixed_pairs_zscore
2024-09-26,2024-12-20,short_spread,2.076913907193135,-1.3686361364374386,60,max_holding_days,9847.66857899665,9173.847716541437,-0.06842440492893465,2016-2026,V-MA,fixed_pairs_zscore
2025-01-08,2025-04-07,long_spread,-2.0136053695454765,-1.1607027351650678,60,max_holding_days,9169.260792683166,9575.684833394547,0.04432462440545892,2016-2026,V-MA,fixed_pairs_zscore
2025-06-03,2025-08-28,long_spread,-2.0531602285322164,-0.25103417225454994,60,max_holding_days,9570.89699097785,9277.92612964648,-0.030610596019113312,2016-2026,V-MA,fixed_pairs_zscore
2025-09-26,2025-12-22,short_spread,2.0087780268560533,1.3555929996589309,60,max_holding_days,9273.287166581656,9105.719156818845,-0.01806996879883982,2016-2026,V-MA,fixed_pairs_zscore
2026-03-19,2026-05-15,long_spread,-2.0647006509363544,-0.14505449857588845,40,open_at_end,9101.166297240436,9503.03863398867,0.04415613599655743,2016-2026,V-MA,fixed_pairs_zscore
2025-09-12,2025-10-22,short_spread,1.1213445210779442,1.9325535059383279,28,max_holding_days,9995.0,9830.86003373092,-0.016422207730773408,2025,V-MA,ga_pairs_zscore
2025-01-08,2025-04-07,long_spread,-2.0136053695454765,-1.1607027351650678,60,max_holding_days,9995.0,10438.024620932561,0.04432462440545892,2025,V-MA,fixed_pairs_zscore
2025-06-03,2025-08-28,long_spread,-2.0531602285322164,-0.25103417225454994,60,max_holding_days,10432.805608622095,10113.451210790618,-0.030610596019113978,2025,V-MA,fixed_pairs_zscore
2025-09-26,2025-12-22,short_spread,2.0087780268560533,1.3555929996589309,60,max_holding_days,10108.394485185223,9925.736112231567,-0.018069968798839264,2025,V-MA,fixed_pairs_zscore
2026-03-20,2026-04-20,long_spread,-2.2689465087216205,-1.9964081824412674,20,max_holding_days,9995.0,10014.160858440444,0.0019170443662275272,2026,V-MA,ga_pairs_zscore
2026-03-19,2026-05-15,long_spread,-2.0647006509363544,-0.14505449857588845,40,open_at_end,9995.0,10436.340579285585,0.04415613599655677,2026,V-MA,fixed_pairs_zscore
