ticker,strategy,annualized_return,cumulative_return,max_drawdown,volatility
AAPL,ga_trend_stop_momentum,0.20792880456427465,6.053612722450048,-0.46437678266715,0.25040256102366537
AAPL,fixed_trend_stop_momentum,0.1937016999199861,5.2402263787289325,-0.3725609548279446,0.24233716974171218
AAPL,buy_and_hold,0.2782489025400168,11.663067318831253,-0.385159130235892,0.28895099632730387
AAPL,dca,0.15810845599443168,3.562974240204788,-0.32410512539791536,0.20433616809172148
MSFT,ga_trend_stop_momentum,0.18391905276120424,4.7311620394660245,-0.3712895389917905,0.24259390154559038
MSFT,fixed_trend_stop_momentum,0.2071226884289561,6.005085159785557,-0.3712895389917905,0.24120328781973363
MSFT,buy_and_hold,0.23422364902934256,7.8130981405958,-0.37148472957091105,0.2696945098968382
MSFT,dca,0.11741428631917827,2.152072912781507,-0.3365191598598224,0.19009577210117218
V,ga_trend_stop_momentum,0.07605076492654783,1.1339840384398432,-0.4394242101510639,0.20527459203606802
V,fixed_trend_stop_momentum,0.10405033895387428,1.783297059858309,-0.39901383809095614,0.21133079968293367
V,buy_and_hold,0.15985392112706975,3.6345956833495325,-0.36364894902859,0.24499787318711846
V,dca,0.07406835771184728,1.0936760391545572,-0.21378960906862265,0.1557632017985868
MA,ga_trend_stop_momentum,0.15702063805746813,3.518845213256835,-0.32080030554370054,0.24126834402002262
MA,fixed_trend_stop_momentum,0.08584036299928877,1.3435038075081458,-0.5413727600489242,0.22951340530515063
MA,buy_and_hold,0.18031570223956472,4.553319451703038,-0.40997214370660884,0.26790802637943884
MA,dca,0.0786203162882797,1.1872731519209112,-0.25349782122883824,0.1740220036700796
JPM,ga_trend_stop_momentum,0.17883879072663467,4.481878687916528,-0.41712375699452364,0.23263769403258736
JPM,fixed_trend_stop_momentum,0.16399282929612258,3.8085030833363858,-0.3113418475571751,0.21074421966376955
JPM,buy_and_hold,0.19207709376452842,5.152955868369212,-0.4362651671874992,0.2746625126369606
JPM,dca,0.10819191435430109,1.8931804200848221,-0.28886401068137946,0.16661825319477858
