window,pair,selected_rank,corr_train,coint_pvalue_train,start_equity,end_equity,annualized_return,cumulative_return,max_drawdown,volatility
2016-2026,V-MA,5,0.9925652623407485,0.23813184584344227,10000.0,9503.03863398867,-0.004917004267146696,-0.049696136601133034,-0.15886776815011328,0.044433805951637526
2025,V-MA,1,0.9966861092960025,0.012630800320388784,10000.0,9925.736112231567,-0.007515526275755358,-0.007426388776843318,-0.06362902318497976,0.04479310902825419
2026,V-MA,2,0.9973500193219449,0.0033367740574426646,10000.0,10436.340579285587,0.12410287366851946,0.04363405792855857,-0.016245994309077694,0.05660627489521405
